ds,yhat,yhat_lower,yhat_upper
2015-01-31,14300.78862985961,4672.420793499856,23059.491768707765
2015-02-28,2292.4907754237247,-7344.870539999732,11261.396549074474
2015-03-31,52016.92102476574,42870.164556114396,61330.77229779195
2015-04-30,21123.41313442474,11959.832063741465,30486.061934795864
2015-05-31,22726.497781326016,13551.93643373081,31288.1301541987
2015-06-30,29917.675535874452,20948.88360408753,39628.77287602692
2015-07-31,25841.09085480853,16251.346032017806,34791.436508812454
2015-08-31,24904.308480708474,15379.391564117246,34338.316780535475
2015-09-30,70749.55291185592,61011.7257808055,80061.37708950289
2015-10-31,38069.691567294554,28846.86295434893,47520.17051038521
2015-11-30,80843.7365917292,71387.10897317223,90262.4590133938
2015-12-31,63393.268912297746,53776.894603988876,73076.19776922715
2016-01-31,19349.24544075558,10198.355572445076,28394.224940765267
2016-02-29,14205.69988134574,5411.345812923333,23745.35346982595
2016-03-31,33166.00793054394,24828.073129873108,42890.93652833668
2016-04-30,32995.5139584884,23848.03027436243,42219.374178308106
2016-05-31,40181.72931156015,31239.77577307356,49258.96964361557
2016-06-30,28602.33269449231,19575.054532574602,37991.21611295137
2016-07-31,32163.019802639683,22687.371116989347,41148.01551663333
2016-08-31,38791.841128442815,29727.709897329314,48726.62108026177
2016-09-30,63984.034714907146,54719.87579425599,72986.25422926822
2016-10-31,46040.10639273287,36631.498325163346,54758.04239585755
2016-11-30,78370.90457608164,68705.9534317503,87474.05530843408
2016-12-31,81357.47367347078,71932.93842355587,90203.83652442241
2017-01-31,26112.348489942156,16263.019733989891,34899.094979859954
2017-02-28,18207.64203748031,8909.910441876817,27925.37641562496
2017-03-31,47851.894237806795,38980.85529769067,56666.67386013459
2017-04-30,37865.748679286946,28936.202520177525,47197.50744066979
2017-05-31,43316.655064053535,34070.62404807961,52228.398263962066
2017-06-30,38245.53978381072,29041.609706763968,47051.875589472016
2017-07-31,39624.27445522656,30155.16027768891,49160.19486075351
2017-08-31,43931.247931201775,34817.95629246262,53261.85700029981
2017-09-30,76334.69566631534,66917.7558544419,85568.46741067493
2017-10-31,53810.170126148754,44506.793430620884,63259.34148090354
2017-11-30,89780.86487473235,80961.19043976415,99651.21150718938
2017-12-31,86035.93549905595,77230.31822333673,94440.65675405538
2018-01-31,34521.34167758166,25365.098193018926,44010.6492870818
2018-02-28,24656.677809125402,16698.848967932292,34503.93213173348
2018-03-31,64561.31251825651,55148.9129002955,74246.62841480719
2018-04-30,44333.47065229315,35249.639012843974,54450.33376269234
2018-05-31,47925.118630294106,39034.60195098516,57310.63758075007
2018-06-30,49114.91087771833,40072.96704393485,58296.39046800464
2018-07-31,47949.46049634922,38554.391694890895,57348.06821600179
2018-08-31,49735.772011284505,40901.40409532744,59108.261254059136
2018-09-30,89026.81994705932,79738.40336375481,98357.01086697033
2018-10-31,61590.52389635404,51968.04557701214,71336.08194110868
2018-11-30,101136.33696256822,92445.82302420345,109996.42629427637
2018-12-31,90673.80060394289,81776.1396361158,100245.03612420995
2019-01-31,42990.532199773515,33536.92691403435,52276.022940082905
2019-02-28,31248.159919566668,21748.599270916922,41160.41585930268
2019-03-31,81267.00776966574,71983.59285603375,90975.9370994738
2019-04-30,50658.420138312795,42129.15756886644,60225.59439686213
2019-05-31,52555.92238435372,43318.568165852506,61526.489961350904
2019-06-30,60032.02039578398,50763.083556036356,69459.73150967513
2019-07-31,56249.853313512016,46949.59297261334,65627.96189482027
2019-08-31,55607.48853901613,45660.77913121718,64538.23164551001
2019-09-30,101737.6532292835,92712.80142384963,111058.21567873831
2019-10-31,69352.20948588423,60744.03407840766,79109.08984025392
2019-11-30,112411.17476730503,103679.21042088415,121629.06760639098
2019-12-31,95255.12468538986,86434.53889704688,104599.92336679753
